// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
W = 50
SIGMA = 1
K = 5
A = 0.363636
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
82 late  3143 621 4.21413 3.4573 6.03432 4.42789 1.04454 4.44369
83 early 3929 786 4.17104 4.3219 6.0729 4.33358 1.04047 4.49248
83 late  3198 633 4.19981 3.5178 6.07377 4.35381 1.06442 4.4935
84 early 3977 779 4.18129 4.3747 6.11822 4.40387 1.04928 4.54454
84 late  3175 629 4.18047 3.4925 6.15875 4.4644 1.05102 4.54556
85 early 3941 766 4.17356 4.3351 6.15512 4.34372 1.04314 4.5954
85 late  3161 604 4.27428 3.4771 6.14328 4.37072 1.07245 4.59638
86 early 3938 777 4.23362 4.3318 6.10027 4.34369 1.06577 4.64473
86 late  3141 610 4.23687 3.4551 6.12608 4.46022 1.071 4.64592
87 early 3976 835 4.13707 4.3736 6.15841 4.41233 1.07017 4.69601
87 late  3202 650 4.198 3.5222 6.13316 4.41518 1.08245 4.69723
88 early 3971 769 4.19139 4.3681 6.10623 4.41081 1.08915 4.74881
88 late  3194 614 4.22104 3.5134 6.08901 4.38592 1.10645 4.74994
89 early 4030 836 4.13797 4.433 6.06929 4.45339 1.07196 4.79963
89 late  3214 667 4.20753 3.5354 6.10892 4.50373 1.0921 4.80092
90 early 4044 830 4.13872 4.4484 6.21376 4.48421 1.06553 4.85772
90 late  3189 650 4.14017 3.5079 6.20982 4.51271 1.07369 4.85925
91 early 3965 776 4.13417 4.3615 6.07565 4.42801 1.0575 4.92449
91 late  3149 614 4.10098 3.4639 6.049 4.47977 1.04509 4.92625
92 early 3909 760 4.10924 4.2999 5.93189 4.35691 1.0417 4.98563
92 late  3140 614 4.13662 3.454 5.97604 4.45567 1.05318 4.98731
93 early 3948 808 4.08536 4.3428 6.08945 4.36472 1.04027 5.04727
93 late  3182 647 4.12508 3.5002 6.06973 4.40544 1.04745 5.04894
94 early 3943 761 4.13594 4.3373 6.02124 4.3418 1.04616 5.10868
94 late  3125 604 4.2128 3.4375 5.98365 4.38089 1.06528 5.1105
95 early 3889 764 4.18874 4.2779 5.89713 4.3455 1.06017 5.1666
95 late  3151 612 4.19518 3.4661 5.90677 4.38302 1.06696 5.16766
96 early 3882 731 4.2169 4.2702 5.89539 4.35077 1.06775 5.21836
96 late  3106 583 4.25177 3.4166 5.90069 4.37592 1.07534 5.21967
97 early 3832 726 4.25678 4.2152 5.85509 4.2862 1.07803 5.26719
97 late  3074 591 4.29863 3.3814 5.89036 4.34043 1.08816 5.26816
98 early 3801 727 4.28519 4.1811 5.84412 4.2808 1.07761 5.31593
98 late  3060 567 4.31078 3.366 5.82227 4.25505 1.08889 5.31693
99 early 3846 786 4.22543 4.2306 5.91017 4.27959 1.04966 5.36401
99 late  3129 644 4.22212 3.4419 5.90608 4.31653 1.04442 5.36499
100 early 3915 786 4.17369 4.3065 5.9977 4.37197 1.04087 5.41362
100 late  3140 631 4.19204 3.454 6.01777 4.41669 1.05478 5.41527
101 early 3915 775 4.16424 4.3065 5.99225 4.37208 1.04955 5.46638
101 late  3120 603 4.16314 3.432 6.01203 4.45548 1.05128 5.46725
102 early 3930 810 4.09898 4.323 6.06686 4.3187 1.02621 5.51761
102 late  3193 652 4.15565 3.5123 6.08975 4.42013 1.05011 5.5187
103 early 3990 797 4.12581 4.389 6.20201 4.47853 1.03835 5.57057
103 late  3206 635 4.15565 3.5266 6.16303 4.45045 1.04211 5.57193
104 early 4012 806 4.11989 4.4132 6.16354 4.45939 1.03016 5.62358
104 late  3157 644 4.12987 3.4727 6.17189 4.457 1.04403 5.625
105 early 3895 738 4.15789 4.2845 6.04797 4.281 1.04981 5.67627
105 late  3128 568 4.18446 3.4408 5.99249 4.27167 1.06138 5.67752
106 early 3949 821 4.10661 4.3439 6.03129 4.35517 1.03976 5.72787
106 late  3178 644 4.16897 3.4958 6.0046 4.35185 1.05884 5.72916
107 early 3988 810 4.11911 4.3868 6.02096 4.3587 1.05717 5.7792
107 late  3223 641 4.16475 3.5453 6.053 4.45586 1.06423 5.78064
108 early 4035 812 4.1254 4.4385 6.1996 4.47131 1.03916 5.83218
108 late  3239 657 4.11578 3.5629 6.21504 4.54063 1.02532 5.8338
109 early 3980 741 4.16332 4.378 6.19439 4.35581 1.03342 5.99036
109 late  3160 577 4.15222 3.476 6.17252 4.31521 1.03892 5.99175
110 early 3969 809 4.10204 4.3659 6.1905 4.34648 1.02998 6.0432
110 late  3222 653 4.09652 3.5442 6.17697 4.36944 1.0239 6.04462
111 early 4017 795 4.08788 4.4187 6.24176 4.3909 1.01718 6.09594
111 late  3160 614 4.12753 3.476 6.24015 4.44753 1.01899 6.09734
112 early 3940 780 4.11244 4.334 6.12095 4.33612 1.02234 6.14606
112 late  3208 631 4.17488 3.5288 6.1031 4.36999 1.04208 6.14768
113 early 4029 821 4.12038 4.4319 6.24998 4.45575 1.03351 6.20943
113 late  3213 636 4.14628 3.5343 6.21902 4.45109 1.03081 6.2139
114 early 4028 815 4.10501 4.4308 6.22441 4.52124 1.01564 6.28719
114 late  3209 635 4.12745 3.5299 6.21404 4.48381 1.01745 6.28887
115 early 3989 780 4.12484 4.3879 6.1065 4.4395 1.00902 6.35238
115 late  3157 603 4.20051 3.4727 6.11865 4.48146 1.02914 6.35407
116 early 3934 777 4.17336 4.3274 6.03445 4.33819 1.03076 6.41217
116 late  3147 592 4.26756 3.4617 6.05477 4.39573 1.05243 6.41374
117 early 3902 755 4.24833 4.2922 5.97652 4.32767 1.05279 6.46939
117 late  3183 603 4.19887 3.5013 5.97768 4.36804 1.04273 6.47091
118 early 3966 783 4.17247 4.3626 6.05372 4.38247 1.04413 6.52867
118 late  3173 624 4.20958 3.4903 6.03042 4.35449 1.05232 6.53022
119 early 3940 767 4.19543 4.334 5.94444 4.35031 1.05838 6.58192
119 late  3153 600 4.16143 3.4683 5.92426 4.32066 1.05297 6.58341
120 early 3877 724 4.19758 4.2647 5.8022 4.26326 1.07299 6.63339
120 late  3129 586 4.15692 3.4419 5.78232 4.24749 1.06647 6.63502
121 early 3889 760 4.14914 4.2779 5.79086 4.28094 1.05117 6.68499
121 late  3094 599 4.18229 3.4034 5.80919 4.31779 1.05559 6.68656
122 early 3850 756 4.16468 4.235 5.81721 4.2488 1.0387 6.73598
122 late  3105 624 4.1343 3.4155 5.84373 4.29007 1.04283 6.73777
123 early 3855 750 4.13541 4.2405 5.8614 4.23936 1.03243 6.78764
123 late  3090 598 4.10518 3.399 5.84392 4.17458 1.01586 6.78909
124 early 3850 760 4.0974 4.235 5.75401 4.18139 1.01506 6.8391
124 late  3069 607 4.12805 3.3759 5.77119 4.28552 1.03747 6.84086
125 early 3801 732 4.14049 4.1811 5.72514 4.19564 1.03815 6.89004
125 late  3080 593 4.18896 3.388 5.70514 4.18965 1.05649 6.89178
126 early 3828 748 4.17503 4.2108 5.77493 4.18557 1.04519 6.9408
126 late  3110 600 4.15723 3.421 5.77383 4.19733 1.04727 6.9423
127 early 3887 777 4.12632 4.2757 5.85535 4.23075 1.03499 6.99284
127 late  3145 630 4.11828 3.4595 5.84721 4.26449 1.04229 6.99433
128 early 3908 763 4.11899 4.2988 5.94097 4.29341 1.04094 7.04438
128 late  3156 621 4.11375 3.4716 5.94941 4.3824 1.03295 7.04598
129 early 3930 774 4.10662 4.323 5.93931 4.31432 1.01628 7.09559
129 late  3147 588 4.15316 3.4617 5.94274 4.36752 1.03559 7.09722
130 early 3913 766 4.14439 4.3043 5.95006 4.29686 1.0299 7.14599
130 late  3127 604 4.12312 3.4397 5.99201 4.3442 1.01855 7.14782
131 early 3889 762 4.11931 4.2779 6.04997 4.25105 1.02828 7.19799
131 late  3135 607 4.17129 3.4485 6.07518 4.30919 1.05423 7.19962
132 early 3926 791 4.12939 4.3186 6.11615 4.29426 1.05171 7.25081
