// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
BURNIN = 200
W = 50
SIGMA = 1
K = 5
A = 0.444444
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
132 late  3479 670 4.19 3.1311 5.98761 3.8336 1.03708 7.27281
133 early 4343 864 4.15749 3.9087 6.15652 3.88754 1.03454 7.32506
133 late  3499 713 4.14576 3.1491 6.16043 3.90939 1.02486 7.32609
134 early 4400 901 4.09205 3.96 6.25703 3.91028 1.01795 7.37894
134 late  3528 726 4.13067 3.1752 6.2009 3.88996 1.02353 7.37978
135 early 4335 807 4.17555 3.9015 6.08788 3.85655 1.02053 7.43222
135 late  3470 640 4.22075 3.123 6.06646 3.85293 1.03055 7.43312
136 early 4356 886 4.15886 3.9204 6.10322 3.83022 1.02686 7.48379
136 late  3492 699 4.19072 3.1428 6.1165 3.83349 1.05441 7.48481
137 early 4312 820 4.20362 3.8808 6.06855 3.80087 1.04429 7.53655
137 late  3439 629 4.24019 3.0951 6.06381 3.80244 1.04653 7.5374
138 early 4270 831 4.22037 3.843 5.98675 3.7641 1.05246 7.58722
138 late  3411 666 4.23248 3.0699 5.98534 3.80999 1.06362 7.58817
139 early 4243 832 4.20646 3.8187 6.00354 3.76317 1.06057 7.63726
139 late  3377 666 4.24548 3.0393 5.99604 3.79261 1.06426 7.63823
140 early 4206 829 4.2116 3.7854 5.9868 3.75388 1.04731 7.68668
140 late  3353 651 4.25887 3.0177 6.01633 3.74885 1.05756 7.68766
141 early 4189 836 4.20936 3.7701 6.06725 3.72707 1.03127 7.73676
141 late  3384 669 4.21749 3.0456 6.00952 3.69125 1.03457 7.73755
142 early 4215 831 4.18885 3.7935 6.04891 3.6945 1.03725 7.78684
142 late  3407 676 4.18022 3.0663 6.02646 3.65912 1.03786 7.78783
143 early 4260 853 4.14296 3.834 6.05518 3.71702 1.03404 7.8402
143 late  3422 675 4.19258 3.0798 6.0129 3.68879 1.04383 7.8411
144 early 4270 848 4.16136 3.843 6.01754 3.73234 1.03443 7.89309
144 late  3445 679 4.1582 3.1005 6.0369 3.75471 1.03425 7.89397
145 early 4256 811 4.17528 3.8304 5.96667 3.70257 1.03712 7.94473
145 late  3418 644 4.1928 3.0762 5.92614 3.7022 1.05003 7.94553
146 early 4250 832 4.17624 3.825 5.93103 3.71268 1.04965 7.99487
146 late  3442 642 4.28152 3.0978 5.92213 3.71296 1.08309 7.99584
147 early 4269 827 4.25837 3.8421 5.87168 3.76712 1.06863 8.04572
147 late  3476 664 4.30236 3.1284 5.86128 3.76225 1.08257 8.04652
148 early 4329 853 4.25757 3.8961 5.93749 3.84004 1.06653 8.09954
148 late  3481 685 4.24016 3.1329 5.88281 3.80705 1.06291 8.10039
149 early 4355 874 4.18852 3.9195 5.84921 3.85069 1.05465 8.15102
149 late  3507 704 4.16766 3.1563 5.88041 3.92101 1.05218 8.15207
150 early 4364 857 4.15284 3.9276 5.95748 3.83772 1.0472 8.20556
150 late  3469 657 4.21418 3.1221 5.91448 3.84902 1.06947 8.20647
151 early 4324 855 4.18316 3.8916 5.85053 3.83113 1.06429 8.39306
151 late  3465 685 4.18384 3.1185 5.85037 3.82812 1.06724 8.39388
152 early 4268 803 4.20853 3.8412 5.83561 3.74643 1.06514 8.44302
152 late  3446 645 4.26785 3.1014 5.83403 3.76775 1.07139 8.44383
153 early 4267 821 4.25428 3.8403 5.86383 3.72676 1.06468 8.49489
153 late  3423 658 4.23839 3.0807 5.85852 3.77755 1.06339 8.49572
154 early 4255 832 4.2141 3.8295 5.86922 3.77332 1.0517 8.54786
154 late  3436 685 4.26106 3.0924 5.8389 3.74251 1.07829 8.54868
155 early 4243 807 4.26043 3.8187 5.76139 3.78003 1.07613 8.59989
155 late  3440 641 4.22791 3.096 5.74014 3.74011 1.07122 8.60072
156 early 4275 835 4.20678 3.8475 5.84824 3.79373 1.06363 8.65106
156 late  3475 691 4.21324 3.1275 5.87533 3.81761 1.05755 8.65203
