// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 30
BURNIN = 200
W = 50
SIGMA = 1.5
K = 5
A = 0.444444
SD = 1.5
SI = 1.5
SM = 1.5
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=4.5);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=4.5);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
131 late  3381 672 4.31115 3.0429 5.85891 3.95375 1.105 13.0791
132 early 4144 763 4.33325 3.7296 5.76563 3.82449 1.10208 13.1718
132 late  3332 611 4.33914 2.9988 5.75288 3.80709 1.09064 13.1727
133 early 4145 813 4.29192 3.7305 5.68451 3.76785 1.07407 13.264
133 late  3368 652 4.2601 3.0312 5.75175 3.88665 1.06829 13.2649
134 early 4183 815 4.23524 3.7647 5.86195 3.86161 1.04853 13.3589
134 late  3373 668 4.24726 3.0357 5.90752 3.91633 1.04062 13.3599
135 early 4181 808 4.2332 3.7629 5.82231 3.82412 1.03659 13.4543
135 late  3327 631 4.24497 2.9943 5.82915 3.90108 1.03667 13.4553
136 early 4145 818 4.20989 3.7305 5.75423 3.80836 1.04463 13.5468
136 late  3366 657 4.1937 3.0294 5.77572 3.86213 1.02644 13.5477
137 early 4187 821 4.1753 3.7683 5.79545 3.88089 1.01361 13.6412
137 late  3369 657 4.19026 3.0321 5.81132 3.98109 1.02286 13.6421
138 early 4235 866 4.12893 3.8115 5.84644 3.95959 1.01629 13.7365
138 late  3403 687 4.08816 3.0627 5.84454 4.01172 1.00735 13.7374
